dist|perl-5.31.0.author|perl-5.31.0.distname|perl-5.31.0.distversion|perl-5.31.0.grade|perl-5.31.1.author|perl-5.31.1.distname|perl-5.31.1.distversion|perl-5.31.1.grade
LucyX-Search-WildcardQuery|KARMAN|LucyX-Search-WildcardQuery-0.06|0.06|PASS|KARMAN|LucyX-Search-WildcardQuery-0.06|0.06|PASS
MARC-Charset|GMCHARLT|MARC-Charset-1.35|1.35|PASS|GMCHARLT|MARC-Charset-1.35|1.35|PASS
MARC-File-XML|GMCHARLT|MARC-File-XML-1.0.5|1.0.5|PASS|GMCHARLT|MARC-File-XML-1.0.5|1.0.5|PASS
MARC-Record|GMCHARLT|MARC-Record-2.0.7|2.0.7|PASS|GMCHARLT|MARC-Record-2.0.7|2.0.7|PASS
MCE|MARIOROY|MCE-1.841|1.841|PASS|MARIOROY|MCE-1.841|1.841|PASS
MDV-Packdrakeng|TVIGNAUD|MDV-Packdrakeng-1.13|1.13|PASS|TVIGNAUD|MDV-Packdrakeng-1.13|1.13|PASS
MIDI-Perl|CONKLIN|MIDI-Perl-0.83|0.83|PASS|CONKLIN|MIDI-Perl-0.83|0.83|PASS
MIDI-Pitch|CRENZ|MIDI-Pitch-0.7|0.7|PASS|CRENZ|MIDI-Pitch-0.7|0.7|PASS
MIME-Base32|REHSACK|MIME-Base32-1.303|1.303|PASS|REHSACK|MIME-Base32-1.303|1.303|PASS
MIME-Base64-URLSafe|KAZUHO|MIME-Base64-URLSafe-0.01|0.01|PASS|KAZUHO|MIME-Base64-URLSafe-0.01|0.01|PASS
MIME-Charset|NEZUMI|MIME-Charset-1.012.2|1.012.2|PASS|NEZUMI|MIME-Charset-1.012.2|1.012.2|PASS
MIME-Lite|RJBS|MIME-Lite-3.030|3.030|PASS|RJBS|MIME-Lite-3.030|3.030|PASS
MIME-Lite-TT-HTML|CHUNZI|MIME-Lite-TT-HTML-0.04|0.04|PASS|CHUNZI|MIME-Lite-TT-HTML-0.04|0.04|PASS
MIME-Types|MARKOV|MIME-Types-2.17|2.17|PASS|MARKOV|MIME-Types-2.17|2.17|PASS
MIME-tools|DSKOLL|MIME-tools-5.509|5.509|PASS|DSKOLL|MIME-tools-5.509|5.509|PASS
MKDoc-XML|BPOSTLE|MKDoc-XML-0.75|0.75|PASS|BPOSTLE|MKDoc-XML-0.75|0.75|PASS
MLDBM|CHORNY|MLDBM-2.05|2.05|PASS|CHORNY|MLDBM-2.05|2.05|PASS
MODS-Record|HOCHSTEN|MODS-Record-0.13|0.13|PASS|HOCHSTEN|MODS-Record-0.13|0.13|PASS
MOP|STEVAN|MOP-0.14|0.14|PASS|STEVAN|MOP-0.14|0.14|PASS
MP3-Info|JMERELO|MP3-Info-1.26|1.26|PASS|JMERELO|MP3-Info-1.26|1.26|PASS
MP3-Tag|ILYAZ|MP3-Tag-1.15|1.15|PASS|ILYAZ|MP3-Tag-1.15|1.15|PASS
MP4-Info|JHAR|MP4-Info-1.13|1.13|PASS|JHAR|MP4-Info-1.13|1.13|PASS
MRO-Compat|HAARG|MRO-Compat-0.13|0.13|PASS|HAARG|MRO-Compat-0.13|0.13|PASS
Machine-Epsilon|BINARY|Machine-Epsilon-1.0.2|1.0.2|PASS|BINARY|Machine-Epsilon-1.0.2|1.0.2|PASS
Mail-Audit|RJBS|Mail-Audit-2.228|2.228|PASS|RJBS|Mail-Audit-2.228|2.228|PASS
Mail-AuthenticationResults|MBRADSHAW|Mail-AuthenticationResults-1.20180923|1.20180923|PASS|MBRADSHAW|Mail-AuthenticationResults-1.20180923|1.20180923|PASS
Mail-Box|MARKOV|Mail-Box-3.007|3.007|PASS|MARKOV|Mail-Box-3.007|3.007|PASS
Mail-DKIM|MBRADSHAW|Mail-DKIM-0.55|0.55|PASS|MBRADSHAW|Mail-DKIM-0.55|0.55|PASS
Mail-DMARC|MBRADSHAW|Mail-DMARC-1.20190308|1.20190308|PASS|MBRADSHAW|Mail-DMARC-1.20190308|1.20190308|PASS
Mail-IMAPClient|PLOBBES|Mail-IMAPClient-3.42|3.42|PASS|PLOBBES|Mail-IMAPClient-3.42|3.42|PASS
Mail-ListDetector|MSTEVENS|Mail-ListDetector-1.04|1.04|PASS|MSTEVENS|Mail-ListDetector-1.04|1.04|PASS
Mail-Message|MARKOV|Mail-Message-3.008|3.008|PASS|MARKOV|Mail-Message-3.008|3.008|PASS
Mail-POP3Client|SDOWD|Mail-POP3Client-2.19|2.19|PASS|SDOWD|Mail-POP3Client-2.19|2.19|PASS
Mail-Sendmail|NEILB|Mail-Sendmail-0.80|0.80|PASS|NEILB|Mail-Sendmail-0.80|0.80|PASS
Mail-SpamAssassin|KMCGRAIL|Mail-SpamAssassin-3.4.2|3.4.2|PASS|KMCGRAIL|Mail-SpamAssassin-3.4.2|3.4.2|PASS
Mail-Thread|TMTM|Mail-Thread-2.55|2.55|PASS|TMTM|Mail-Thread-2.55|2.55|PASS
Mail-Transport|MARKOV|Mail-Transport-3.004|3.004|PASS|MARKOV|Mail-Transport-3.004|3.004|PASS
MailTools|MARKOV|MailTools-2.21|2.21|PASS|MARKOV|MailTools-2.21|2.21|PASS
Mango|ODC|Mango-1.30|1.30|PASS|ODC|Mango-1.30|1.30|PASS
Map-Metro|CSSON|Map-Metro-0.2405|0.2405|PASS|CSSON|Map-Metro-0.2405|0.2405|PASS
Map-Tube|MANWAR|Map-Tube-3.64|3.64|PASS|MANWAR|Map-Tube-3.64|3.64|PASS
Map-Tube-Exception|MANWAR|Map-Tube-Exception-3.19|3.19|PASS|MANWAR|Map-Tube-Exception-3.19|3.19|PASS
Map-Tube-Plugin-Formatter|MANWAR|Map-Tube-Plugin-Formatter-0.16|0.16|PASS|MANWAR|Map-Tube-Plugin-Formatter-0.16|0.16|PASS
Markdent|DROLSKY|Markdent-0.34|0.34|PASS|DROLSKY|Markdent-0.34|0.34|PASS
Markdown-Pod|KEEDI|Markdown-Pod-0.007|0.007|PASS|KEEDI|Markdown-Pod-0.007|0.007|PASS
Marpa-R2|JKEGL|Marpa-R2-8.000000|8.000000|PASS|JKEGL|Marpa-R2-8.000000|8.000000|PASS
Mason|JSWARTZ|Mason-2.24|2.24|PASS|JSWARTZ|Mason-2.24|2.24|PASS
Math-Base-Convert|MIKER|Math-Base-Convert-0.11|0.11|PASS|MIKER|Math-Base-Convert-0.11|0.11|PASS
Math-Base85|PTC|Math-Base85-0.4|0.4|PASS|PTC|Math-Base85-0.4|0.4|PASS
Math-BaseCalc|KWILLIAMS|Math-BaseCalc-1.019|1.019|PASS|KWILLIAMS|Math-BaseCalc-1.019|1.019|PASS
Math-BaseCnv|PIP|Math-BaseCnv-1.14|1.14|PASS|PIP|Math-BaseCnv-1.14|1.14|PASS
Math-BigInt-GMP|PJACKLAM|Math-BigInt-GMP-1.6006|1.6006|PASS|PJACKLAM|Math-BigInt-GMP-1.6006|1.6006|PASS
Math-Calc-Units|SFINK|Math-Calc-Units-1.07|1.07|PASS|SFINK|Math-Calc-Units-1.07|1.07|PASS
Math-Cartesian-Product|PRBRENAN|Math-Cartesian-Product-1.009|1.009|PASS|PRBRENAN|Math-Cartesian-Product-1.009|1.009|PASS
Math-Cephes|SHLOMIF|Math-Cephes-0.5305|0.5305|PASS|SHLOMIF|Math-Cephes-0.5305|0.5305|PASS
Math-Combinatorics|ALLENDAY|Math-Combinatorics-0.09|0.09|PASS|ALLENDAY|Math-Combinatorics-0.09|0.09|PASS
Math-Derivative|JGAMBLE|Math-Derivative-1.01|1.01|PASS|JGAMBLE|Math-Derivative-1.01|1.01|PASS
Math-EllipticCurve-Prime|BRIANC|Math-EllipticCurve-Prime-0.003|0.003|PASS|BRIANC|Math-EllipticCurve-Prime-0.003|0.003|PASS
Math-Expression|ADDW|Math-Expression-1.48|1.48|PASS|ADDW|Math-Expression-1.48|1.48|PASS
Math-Factor-XS|KRYDE|Math-Factor-XS-0.40|0.40|PASS|KRYDE|Math-Factor-XS-0.40|0.40|PASS
Math-Fibonacci|VIPUL|Math-Fibonacci-1.5|1.5|PASS|VIPUL|Math-Fibonacci-1.5|1.5|PASS
Math-Fibonacci-Phi|DMUEY|Math-Fibonacci-Phi-0.02|0.02|PASS|DMUEY|Math-Fibonacci-Phi-0.02|0.02|PASS
Math-GMP|SHLOMIF|Math-GMP-2.19|2.19|PASS|SHLOMIF|Math-GMP-2.19|2.19|PASS
Math-GMPz|SISYPHUS|Math-GMPz-0.48|0.48|PASS|SISYPHUS|Math-GMPz-0.48|0.48|PASS
Math-GSL|LETO|Math-GSL-0.40|0.40|PASS|LETO|Math-GSL-0.40|0.40|PASS
Math-Geometry-Planar|DVDPOL|Math-Geometry-Planar-1.18|1.18|PASS|DVDPOL|Math-Geometry-Planar-1.18|1.18|PASS
Math-Geometry-Planar-GPC|DVDPOL|Math-Geometry-Planar-GPC-1.04|1.04|PASS|DVDPOL|Math-Geometry-Planar-GPC-1.04|1.04|PASS
Math-Geometry-Planar-Offset|EWILHELM|Math-Geometry-Planar-Offset-1.05|1.05|PASS|EWILHELM|Math-Geometry-Planar-Offset-1.05|1.05|PASS
Math-Int128|SALVA|Math-Int128-0.22|0.22|PASS|SALVA|Math-Int128-0.22|0.22|PASS
Math-Int64|SALVA|Math-Int64-0.54|0.54|PASS|SALVA|Math-Int64-0.54|0.54|PASS
Math-MPFR|SISYPHUS|Math-MPFR-4.12|4.12|PASS|SISYPHUS|Math-MPFR-4.12|4.12|PASS
Math-Matrix|ULPFR|Math-Matrix-0.8|0.8|PASS|ULPFR|Math-Matrix-0.8|0.8|PASS
Math-MatrixReal|LETO|Math-MatrixReal-2.13|2.13|PASS|LETO|Math-MatrixReal-2.13|2.13|PASS
Math-Pari|ILYAZ|Math-Pari-2.030518|2.030518|PASS|ILYAZ|Math-Pari-2.030518|2.030518|PASS
Math-Polygon|MARKOV|Math-Polygon-1.10|1.10|PASS|MARKOV|Math-Polygon-1.10|1.10|PASS
Math-Primality|LETO|Math-Primality-0.08|0.08|PASS|LETO|Math-Primality-0.08|0.08|PASS
Math-Prime-Util|DANAJ|Math-Prime-Util-0.73|0.73|PASS|DANAJ|Math-Prime-Util-0.73|0.73|PASS
Math-Prime-Util-GMP|DANAJ|Math-Prime-Util-GMP-0.51|0.51|PASS|DANAJ|Math-Prime-Util-GMP-0.51|0.51|PASS
Math-Random|GROMMEL|Math-Random-0.72|0.72|PASS|GROMMEL|Math-Random-0.72|0.72|PASS
Math-Random-ISAAC|JAWNSY|Math-Random-ISAAC-1.004|1.004|PASS|JAWNSY|Math-Random-ISAAC-1.004|1.004|PASS
Math-Random-ISAAC-XS|JAWNSY|Math-Random-ISAAC-XS-1.004|1.004|PASS|JAWNSY|Math-Random-ISAAC-XS-1.004|1.004|PASS
Math-Random-MT|FANGLY|Math-Random-MT-1.17|1.17|PASS|FANGLY|Math-Random-MT-1.17|1.17|PASS
Math-Random-MT-Auto|JDHEDDEN|Math-Random-MT-Auto-6.23|6.23|PASS|JDHEDDEN|Math-Random-MT-Auto-6.23|6.23|PASS
Math-Random-MT-Perl|FANGLY|Math-Random-MT-Perl-1.15|1.15|PASS|FANGLY|Math-Random-MT-Perl-1.15|1.15|PASS
Math-Random-Secure|FREW|Math-Random-Secure-0.080001|0.080001|PASS|FREW|Math-Random-Secure-0.080001|0.080001|PASS
Math-Round|GROMMEL|Math-Round-0.07|0.07|PASS|GROMMEL|Math-Round-0.07|0.07|PASS
Math-Round-Var|EWILHELM|Math-Round-Var-v1.0.0|v1.0.0|PASS|EWILHELM|Math-Round-Var-v1.0.0|v1.0.0|PASS
Math-Spline|CHORNY|Math-Spline-0.02|0.02|PASS|CHORNY|Math-Spline-0.02|0.02|PASS
Math-String|PJACKLAM|Math-String-1.29|1.29|PASS|PJACKLAM|Math-String-1.29|1.29|PASS
Math-Symbolic|SMUELLER|Math-Symbolic-0.612|0.612|PASS|SMUELLER|Math-Symbolic-0.612|0.612|PASS
Math-SymbolicX-ParserExtensionFactory|SMUELLER|Math-SymbolicX-ParserExtensionFactory-3.02|3.02|PASS|SMUELLER|Math-SymbolicX-ParserExtensionFactory-3.02|3.02|PASS
Math-Utils|JGAMBLE|Math-Utils-1.13|1.13|PASS|JGAMBLE|Math-Utils-1.13|1.13|PASS
Math-Vec|EWILHELM|Math-Vec-1.01|1.01|PASS|EWILHELM|Math-Vec-1.01|1.01|PASS
Math-Vector-Real|SALVA|Math-Vector-Real-0.18|0.18|PASS|SALVA|Math-Vector-Real-0.18|0.18|PASS
Math-Vector-Real-kdTree|SALVA|Math-Vector-Real-kdTree-0.15|0.15|PASS|SALVA|Math-Vector-Real-kdTree-0.15|0.15|PASS
Math-VectorReal|ANTHONY|Math-VectorReal-1.02|1.02|PASS|ANTHONY|Math-VectorReal-1.02|1.02|PASS
MaxMind-DB-Common|MAXMIND|MaxMind-DB-Common-0.040001|0.040001|PASS|MAXMIND|MaxMind-DB-Common-0.040001|0.040001|PASS
MaxMind-DB-Reader|MAXMIND|MaxMind-DB-Reader-1.000014|1.000014|PASS|MAXMIND|MaxMind-DB-Reader-1.000014|1.000014|PASS
MediaWiki-API|EXOBUZZ|MediaWiki-API-0.41|0.41|PASS|EXOBUZZ|MediaWiki-API-0.41|0.41|PASS
Memoize-ExpireLRU|NEILB|Memoize-ExpireLRU-0.56|0.56|PASS|NEILB|Memoize-ExpireLRU-0.56|0.56|PASS
Memory-Usage|DONEILL|Memory-Usage-0.201|0.201|PASS|DONEILL|Memory-Usage-0.201|0.201|PASS
Menlo|MIYAGAWA|Menlo-1.9019|1.9019|PASS|MIYAGAWA|Menlo-1.9019|1.9019|PASS
Menlo-Legacy|MIYAGAWA|Menlo-Legacy-1.9022|1.9022|PASS|MIYAGAWA|Menlo-Legacy-1.9022|1.9022|PASS
Message-Match|DIEDERICH|Message-Match-1.161190|1.161190|PASS|DIEDERICH|Message-Match-1.161190|1.161190|PASS
Message-Router|DIEDERICH|Message-Router-1.161240|1.161240|PASS|DIEDERICH|Message-Router-1.161240|1.161240|PASS
Message-Stack|GPHAT|Message-Stack-0.22|0.22|PASS|GPHAT|Message-Stack-0.22|0.22|PASS
Message-Transform|DIEDERICH|Message-Transform-1.132260|1.132260|PASS|DIEDERICH|Message-Transform-1.132260|1.132260|PASS
Meta-Builder|EXODIST|Meta-Builder-0.004|0.004|PASS|EXODIST|Meta-Builder-0.004|0.004|PASS
MetaCPAN-API|HAARG|MetaCPAN-API-0.51|0.51|PASS|HAARG|MetaCPAN-API-0.51|0.51|PASS
MetaCPAN-Client|MICKEY|MetaCPAN-Client-2.026000|2.026000|PASS|MICKEY|MetaCPAN-Client-2.026000|2.026000|PASS
Metabase|RJBS|Metabase-1.003|1.003|PASS|RJBS|Metabase-1.003|1.003|PASS
Metabase-Client-Simple|DAGOLDEN|Metabase-Client-Simple-0.012|0.012|PASS|DAGOLDEN|Metabase-Client-Simple-0.012|0.012|PASS
Metabase-Fact|DAGOLDEN|Metabase-Fact-0.025|0.025|PASS|DAGOLDEN|Metabase-Fact-0.025|0.025|PASS
Method-Signatures|BAREFOOT|Method-Signatures-20170211|20170211|PASS|BAREFOOT|Method-Signatures-20170211|20170211|PASS
Method-Signatures-Simple|RHESA|Method-Signatures-Simple-1.07|1.07|PASS|RHESA|Method-Signatures-Simple-1.07|1.07|PASS
Minion|SRI|Minion-9.11|9.11|PASS|SRI|Minion-9.11|9.11|PASS
Minion-Backend-SQLite|DBOOK|Minion-Backend-SQLite-4.004|4.004|PASS|DBOOK|Minion-Backend-SQLite-4.004|4.004|PASS
Mixin-Event-Dispatch|TEAM|Mixin-Event-Dispatch-2.000|2.000|PASS|TEAM|Mixin-Event-Dispatch-2.000|2.000|PASS
Mixin-ExtraFields|RJBS|Mixin-ExtraFields-0.140002|0.140002|PASS|RJBS|Mixin-ExtraFields-0.140002|0.140002|PASS
Mixin-ExtraFields-Param|RJBS|Mixin-ExtraFields-Param-0.021|0.021|PASS|RJBS|Mixin-ExtraFields-Param-0.021|0.021|PASS
Mixin-Linewise|RJBS|Mixin-Linewise-0.108|0.108|PASS|RJBS|Mixin-Linewise-0.108|0.108|PASS
Mo|TINITA|Mo-0.40|0.40|PASS|TINITA|Mo-0.40|0.40|PASS
Mock-Config|RURBAN|Mock-Config-0.03|0.03|PASS|RURBAN|Mock-Config-0.03|0.03|PASS
Mock-MonkeyPatch|JBERGER|Mock-MonkeyPatch-0.04|0.04|PASS|JBERGER|Mock-MonkeyPatch-0.04|0.04|PASS
Mock-Quick|EXODIST|Mock-Quick-1.111|1.111|PASS|EXODIST|Mock-Quick-1.111|1.111|PASS
Mock-Sub|STEVEB|Mock-Sub-1.09|1.09|PASS|STEVEB|Mock-Sub-1.09|1.09|PASS
ModPerl-VersionUtil|NAOYA|ModPerl-VersionUtil-0.03|0.03|PASS|NAOYA|ModPerl-VersionUtil-0.03|0.03|PASS
Modern-Perl|CHROMATIC|Modern-Perl-1.20190601|1.20190601|PASS|CHROMATIC|Modern-Perl-1.20190601|1.20190601|PASS
Module-Build|LEONT|Module-Build-0.4229|0.4229|PASS|LEONT|Module-Build-0.4229|0.4229|PASS
Module-Build-FFI|PLICEASE|Module-Build-FFI-0.49|0.49|PASS|PLICEASE|Module-Build-FFI-0.49|0.49|PASS
Module-Build-Pluggable|TOKUHIROM|Module-Build-Pluggable-0.10|0.10|PASS|TOKUHIROM|Module-Build-Pluggable-0.10|0.10|PASS
Module-Build-Pluggable-CPANfile|KAZEBURO|Module-Build-Pluggable-CPANfile-0.05|0.05|PASS|KAZEBURO|Module-Build-Pluggable-CPANfile-0.05|0.05|PASS
Module-Build-Pluggable-PPPort|TOKUHIROM|Module-Build-Pluggable-PPPort-0.04|0.04|PASS|TOKUHIROM|Module-Build-Pluggable-PPPort-0.04|0.04|PASS
Module-Build-Pluggable-ReadmeMarkdownFromPod|TOKUHIROM|Module-Build-Pluggable-ReadmeMarkdownFromPod-0.04|0.04|PASS|TOKUHIROM|Module-Build-Pluggable-ReadmeMarkdownFromPod-0.04|0.04|PASS
Module-Build-Prereqs-FromCPANfile|TOSHIOITO|Module-Build-Prereqs-FromCPANfile-0.02|0.02|PASS|TOSHIOITO|Module-Build-Prereqs-FromCPANfile-0.02|0.02|PASS
Module-Build-SysPath|JKUTEJ|Module-Build-SysPath-0.18|0.18|PASS|JKUTEJ|Module-Build-SysPath-0.18|0.18|PASS
Module-Build-Tiny|LEONT|Module-Build-Tiny-0.039|0.039|PASS|LEONT|Module-Build-Tiny-0.039|0.039|PASS
Module-Build-Using-PkgConfig|PEVANS|Module-Build-Using-PkgConfig-0.03|0.03|PASS|PEVANS|Module-Build-Using-PkgConfig-0.03|0.03|PASS
Module-Build-WithXSpp|SMUELLER|Module-Build-WithXSpp-0.14|0.14|PASS|SMUELLER|Module-Build-WithXSpp-0.14|0.14|PASS
Module-Build-XSUtil|HIDEAKIO|Module-Build-XSUtil-0.19|0.19|PASS|HIDEAKIO|Module-Build-XSUtil-0.19|0.19|PASS
Module-CPANTS-Analyse|ISHIGAKI|Module-CPANTS-Analyse-1.00|1.00|PASS|ISHIGAKI|Module-CPANTS-Analyse-1.00|1.00|PASS
Module-CPANfile|MIYAGAWA|Module-CPANfile-1.1004|1.1004|PASS|MIYAGAWA|Module-CPANfile-1.1004|1.1004|PASS
Module-Collect|YAPPO|Module-Collect-0.06|0.06|PASS|YAPPO|Module-Collect-0.06|0.06|PASS
Module-Compile|INGY|Module-Compile-0.37|0.37|PASS|INGY|Module-Compile-0.37|0.37|PASS
Module-Data|KENTNL|Module-Data-0.013|0.013|PASS|KENTNL|Module-Data-0.013|0.013|PASS
Module-Depends|RCLAMP|Module-Depends-0.16|0.16|PASS|RCLAMP|Module-Depends-0.16|0.16|PASS
Module-Extract-Namespaces|BDFOY|Module-Extract-Namespaces-1.021|1.021|PASS|BDFOY|Module-Extract-Namespaces-1.021|1.021|PASS
Module-Extract-Use|BDFOY|Module-Extract-Use-1.043|1.043|PASS|BDFOY|Module-Extract-Use-1.043|1.043|PASS
Module-Extract-VERSION|BDFOY|Module-Extract-VERSION-1.113|1.113|PASS|BDFOY|Module-Extract-VERSION-1.113|1.113|PASS
Module-ExtractUse|DOMM|Module-ExtractUse-0.343|0.343|PASS|DOMM|Module-ExtractUse-0.343|0.343|PASS
Module-Faker|RJBS|Module-Faker-0.022|0.022|PASS|RJBS|Module-Faker-0.022|0.022|PASS
Module-Find|CRENZ|Module-Find-0.13|0.13|PASS|CRENZ|Module-Find-0.13|0.13|PASS
Module-Implementation|DROLSKY|Module-Implementation-0.09|0.09|PASS|DROLSKY|Module-Implementation-0.09|0.09|PASS
Module-Info|NEILB|Module-Info-0.37|0.37|PASS|NEILB|Module-Info-0.37|0.37|PASS
Module-Install|ETHER|Module-Install-1.19|1.19|PASS|ETHER|Module-Install-1.19|1.19|PASS
Module-Install-AuthorRequires|FLORA|Module-Install-AuthorRequires-0.02|0.02|PASS|FLORA|Module-Install-AuthorRequires-0.02|0.02|PASS
Module-Install-AuthorTests|RJBS|Module-Install-AuthorTests-0.002|0.002|PASS|RJBS|Module-Install-AuthorTests-0.002|0.002|PASS
Module-Install-AutoManifest|HDP|Module-Install-AutoManifest-0.003|0.003|PASS|HDP|Module-Install-AutoManifest-0.003|0.003|PASS
Module-Install-GithubMeta|BINGOS|Module-Install-GithubMeta-0.30|0.30|PASS|BINGOS|Module-Install-GithubMeta-0.30|0.30|PASS
Module-Install-ManifestSkip|INGY|Module-Install-ManifestSkip-0.24|0.24|PASS|INGY|Module-Install-ManifestSkip-0.24|0.24|PASS
Module-Install-ReadmeFromPod|BINGOS|Module-Install-ReadmeFromPod-0.30|0.30|PASS|BINGOS|Module-Install-ReadmeFromPod-0.30|0.30|PASS
Module-Install-Repository|MIYAGAWA|Module-Install-Repository-0.06|0.06|PASS|MIYAGAWA|Module-Install-Repository-0.06|0.06|PASS
Module-List|ZEFRAM|Module-List-0.004|0.004|PASS|ZEFRAM|Module-List-0.004|0.004|PASS
Module-Loader|NEILB|Module-Loader-0.03|0.03|PASS|NEILB|Module-Loader-0.03|0.03|PASS
Module-Locate|NEILB|Module-Locate-1.80|1.80|PASS|NEILB|Module-Locate-1.80|1.80|PASS
Module-Manifest|ETHER|Module-Manifest-1.09|1.09|PASS|ETHER|Module-Manifest-1.09|1.09|PASS
Module-Manifest-Skip|INGY|Module-Manifest-Skip-0.23|0.23|PASS|INGY|Module-Manifest-Skip-0.23|0.23|PASS
Module-Optional|IVORW|Module-Optional-0.03|0.03|PASS|IVORW|Module-Optional-0.03|0.03|PASS
Module-Path|NEILB|Module-Path-0.19|0.19|PASS|NEILB|Module-Path-0.19|0.19|PASS
Module-Pluggable|SIMONW|Module-Pluggable-5.2|5.2|PASS|SIMONW|Module-Pluggable-5.2|5.2|PASS
Module-Pluggable-Fast|MRAMBERG|Module-Pluggable-Fast-0.19|0.19|PASS|MRAMBERG|Module-Pluggable-Fast-0.19|0.19|PASS
Module-Pluggable-Ordered|APEIRON|Module-Pluggable-Ordered-1.5|1.5|PASS|APEIRON|Module-Pluggable-Ordered-1.5|1.5|PASS
Module-Refresh|ALEXMV|Module-Refresh-0.17|0.17|PASS|ALEXMV|Module-Refresh-0.17|0.17|PASS
Module-Reload|NEILB|Module-Reload-1.11|1.11|PASS|NEILB|Module-Reload-1.11|1.11|PASS
Module-Runtime|ZEFRAM|Module-Runtime-0.016|0.016|PASS|ZEFRAM|Module-Runtime-0.016|0.016|PASS
Module-Runtime-Conflicts|ETHER|Module-Runtime-Conflicts-0.003|0.003|PASS|ETHER|Module-Runtime-Conflicts-0.003|0.003|PASS
Module-ScanDeps|RSCHUPP|Module-ScanDeps-1.27|1.27|PASS|RSCHUPP|Module-ScanDeps-1.27|1.27|PASS
Module-Signature|AUDREYT|Module-Signature-0.83|0.83|PASS|AUDREYT|Module-Signature-0.83|0.83|PASS
Module-Spy|TOKUHIROM|Module-Spy-0.07|0.07|PASS|TOKUHIROM|Module-Spy-0.07|0.07|PASS
Module-Starter|DBOOK|Module-Starter-1.76|1.76|PASS|DBOOK|Module-Starter-1.76|1.76|PASS
Module-Used|ELLIOTJS|Module-Used-v1.3.0|v1.3.0|PASS|ELLIOTJS|Module-Used-v1.3.0|v1.3.0|PASS
Module-Util|MATTLAW|Module-Util-1.09|1.09|PASS|MATTLAW|Module-Util-1.09|1.09|PASS
Module-Version|XSAWYERX|Module-Version-0.201|0.201|PASS|XSAWYERX|Module-Version-0.201|0.201|PASS
Module-Versions|THW|Module-Versions-0.02|0.02|PASS|THW|Module-Versions-0.02|0.02|PASS
Module-Want|DMUEY|Module-Want-0.6|0.6|PASS|DMUEY|Module-Want-0.6|0.6|PASS
MogileFS-Client|DORMANDO|MogileFS-Client-1.17|1.17|PASS|DORMANDO|MogileFS-Client-1.17|1.17|PASS
Mojo-Base-XS|YKO|Mojo-Base-XS-0.07|0.07|PASS|YKO|Mojo-Base-XS-0.07|0.07|PASS
Mojo-DOM58|DBOOK|Mojo-DOM58-2.000|2.000|PASS|DBOOK|Mojo-DOM58-2.000|2.000|PASS
Mojo-JWT|JBERGER|Mojo-JWT-0.08|0.08|PASS|JBERGER|Mojo-JWT-0.08|0.08|PASS
Mojo-SQLite|DBOOK|Mojo-SQLite-3.002|3.002|PASS|DBOOK|Mojo-SQLite-3.002|3.002|PASS
MojoX-Session|VTI|MojoX-Session-0.33|0.33|PASS|VTI|MojoX-Session-0.33|0.33|PASS
Mojolicious|SRI|Mojolicious-8.20|8.20|PASS|SRI|Mojolicious-8.20|8.20|PASS
Mojolicious-Plugin-AssetPack|JHTHORSEN|Mojolicious-Plugin-AssetPack-2.08|2.08|PASS|JHTHORSEN|Mojolicious-Plugin-AssetPack-2.08|2.08|PASS
Mojolicious-Plugin-OpenAPI|JHTHORSEN|Mojolicious-Plugin-OpenAPI-2.14|2.14|FAIL|JHTHORSEN|Mojolicious-Plugin-OpenAPI-2.14|2.14|FAIL
Mojolicious-Plugin-Web-Auth|HAYAJO|Mojolicious-Plugin-Web-Auth-0.17|0.17|PASS|HAYAJO|Mojolicious-Plugin-Web-Auth-0.17|0.17|PASS
MongoDB|MONGODB|MongoDB-v2.0.3|v2.0.3|PASS|MONGODB|MongoDB-v2.0.3|v2.0.3|PASS
Moo|HAARG|Moo-2.003004|2.003004|PASS|HAARG|Moo-2.003004|2.003004|PASS
MooX|GETTY|MooX-0.101|0.101|PASS|GETTY|MooX-0.101|0.101|PASS
MooX-Aliases|HAARG|MooX-Aliases-0.001006|0.001006|PASS|HAARG|MooX-Aliases-0.001006|0.001006|PASS
MooX-Attribute-ENV|ETJ|MooX-Attribute-ENV-0.02|0.02|PASS|ETJ|MooX-Attribute-ENV-0.02|0.02|PASS
MooX-BuildArgs|BLUEFEET|MooX-BuildArgs-0.08|0.08|PASS|BLUEFEET|MooX-BuildArgs-0.08|0.08|PASS
MooX-ClassAttribute|TOBYINK|MooX-ClassAttribute-0.011|0.011|PASS|TOBYINK|MooX-ClassAttribute-0.011|0.011|PASS
MooX-Cmd|REHSACK|MooX-Cmd-0.017|0.017|PASS|REHSACK|MooX-Cmd-0.017|0.017|PASS
MooX-HandlesVia|MATTP|MooX-HandlesVia-0.001008|0.001008|PASS|MATTP|MooX-HandlesVia-0.001008|0.001008|PASS
MooX-LazierAttributes|LNATION|MooX-LazierAttributes-1.07008|1.07008|PASS|LNATION|MooX-LazierAttributes-1.07008|1.07008|PASS
MooX-Locale-Passthrough|REHSACK|MooX-Locale-Passthrough-0.001|0.001|PASS|REHSACK|MooX-Locale-Passthrough-0.001|0.001|PASS
MooX-Log-Any|CAZADOR|MooX-Log-Any-0.004004|0.004004|PASS|CAZADOR|MooX-Log-Any-0.004004|0.004004|PASS
